crime_id,crime_type_id,crime_time_id,location_id
0,0,0,0
1,1,1,1
2,2,2,2
2,3,3,2
2,4,4,2
3,5,5,3
2,6,6,4
4,7,7,5
2,6,8,4
5,2,9,2
6,1,10,6
7,8,11,7
8,0,12,8
9,4,13,2
2,2,14,4
10,9,15,9
2,2,16,4
5,2,17,10
5,2,18,2
2,3,19,10
11,5,20,3
12,1,21,2
2,6,22,4
13,10,23,3
2,6,24,4
14,5,25,11
15,2,26,12
2,4,27,2
2,6,28,4
2,6,29,4
16,11,30,7
2,4,27,2
17,8,31,1
2,2,32,2
18,12,33,5
19,9,34,13
2,2,2,2
2,6,35,4
20,0,36,7
2,3,37,11
21,13,38,1
2,2,39,4
15,2,40,12
2,3,37,11
2,4,41,2
22,14,42,8
23,15,43,1
24,4,44,2
25,13,45,9
26,4,46,10
26,13,47,13
2,2,48,4
27,0,49,5
28,16,50,2
29,17,51,3
30,0,52,14
2,4,53,2
31,2,54,2
26,10,55,8
2,2,56,4
32,18,57,2
2,6,58,4
2,2,59,2
33,11,54,2
34,5,60,7
2,6,61,4
35,15,62,1
2,2,63,4
18,8,64,5
6,19,65,6
18,11,66,10
36,13,67,2
9,4,68,2
20,7,69,7
37,9,70,2
38,11,71,8
2,4,53,2
39,20,72,6
2,2,73,10
40,4,74,7
37,0,75,15
9,4,76,2
15,2,77,4
41,4,78,7
42,4,79,7
2,4,80,2
2,6,81,4
16,8,82,7
43,4,27,4
9,4,83,2
24,21,84,0
17,19,85,14
2,4,27,2
44,22,86,1
45,2,87,4
16,4,88,8
2,2,32,4
17,19,89,1
46,23,90,1
47,0,91,2
48,2,92,4
6,19,93,6
2,2,94,4
2,2,95,4
49,21,96,16
5,2,97,9
9,4,98,2
0,0,99,8
2,4,100,2
50,0,101,2
2,4,102,4
51,24,103,7
16,8,104,13
52,8,105,7
2,6,106,4
2,4,107,2
48,2,108,4
2,4,109,2
2,6,110,4
16,11,111,8
2,4,112,2
24,1,113,0
53,2,114,4
54,15,115,14
2,4,53,2
2,6,116,4
55,0,117,10
2,2,118,12
2,6,119,4
40,4,120,6
5,2,121,4
18,12,122,5
56,4,123,4
57,2,124,4
58,13,125,0
59,10,126,6
5,4,127,2
60,13,125,0
6,25,128,6
61,20,129,7
19,9,130,10
9,4,131,2
2,6,132,4
62,7,133,7
16,4,134,8
2,2,135,2
2,3,136,3
2,6,137,4
63,9,138,7
2,2,139,9
5,2,140,2
64,2,141,4
2,6,142,4
2,6,143,2
65,26,144,1
11,27,145,8
2,4,146,2
2,4,147,2
65,0,148,10
2,4,4,2
66,13,149,0
67,9,150,6
68,1,151,16
16,4,134,8
2,4,53,2
69,0,152,7
70,5,153,12
47,28,154,2
2,2,155,4
19,0,156,15
2,4,157,2
12,1,158,5
2,6,159,4
27,5,160,9
2,6,161,4
9,4,162,2
71,0,163,8
12,1,164,9
72,12,165,14
63,27,145,8
2,2,166,2
69,0,167,6
6,20,168,6
4,29,169,7
2,2,170,4
2,2,171,4
17,0,172,1
73,13,173,17
18,13,174,13
74,0,175,13
2,2,176,4
75,13,177,10
2,6,178,4
5,6,179,12
76,0,180,8
77,4,178,7
21,0,12,8
78,7,181,18
18,4,182,13
2,4,183,2
79,1,184,0
2,2,81,4
2,2,185,4
2,2,29,4
2,6,186,4
2,4,4,2
76,9,187,18
2,4,27,2
5,2,188,2
2,4,189,2
2,4,190,2
2,4,191,2
26,23,192,5
1,1,193,19
80,10,194,14
2,6,195,4
2,6,196,4
5,2,137,4
69,0,197,6
2,6,198,4
2,2,199,4
21,4,200,3
81,4,201,7
5,2,202,12
2,6,203,4
2,2,204,4
69,0,205,8
43,2,206,4
82,0,207,1
9,4,208,2
2,6,6,4
2,2,209,4
83,5,210,10
11,5,211,10
19,9,212,1
84,0,213,5
11,13,197,8
2,2,214,4
85,17,215,8
2,2,115,14
5,6,216,4
26,11,217,10
18,23,218,5
76,0,219,8
27,30,220,7
18,8,221,5
24,10,222,3
5,4,223,2
76,9,224,7
2,2,225,4
53,6,226,4
86,11,227,2
2,2,166,2
2,4,27,2
5,6,228,4
69,31,229,8
9,4,230,2
9,4,231,2
2,4,53,2
87,21,232,0
88,0,233,8
2,6,234,4
5,2,235,2
2,4,236,2
5,2,237,4
2,2,238,4
61,20,129,7
2,6,46,4
2,6,239,4
2,23,240,2
2,6,241,4
26,10,242,5
2,2,243,12
79,1,244,0
89,21,245,10
2,4,246,2
26,11,247,5
90,6,97,4
91,2,248,4
2,6,249,4
92,17,250,3
93,32,251,4
2,4,53,2
94,26,252,6
19,0,253,8
37,30,220,7
64,2,28,4
95,23,254,2
38,4,255,0
2,2,52,4
5,6,256,4
22,5,257,2
2,2,258,14
96,17,259,7
